name,street,namestreet2,address,zip,physicalname,physicalstreet,website
California State Prison-Sacramento,P.O. Box 290066,,"Represa, CA 95671",95671,,,https://www.prisonpro.com/content/california-state-prison-sacramento
"California State Prison, Solano",P. O. Box 4000,,"Vacaville, CA 95696-4000",95696,,,https://www.prisonpro.com/content/california-state-prison-solano
Facility A & B,P.O. Box 5248,,"Corcoran, CA 93212",93212,,,https://www.prisonpro.com/content/california-substance-abuse-treatment-facility
Facility C,P.O. Box 5246,,"Corcoran, CA 93212",93212,,,https://www.prisonpro.com/content/california-substance-abuse-treatment-facility
Facility D & E,P.O. Box 5242,,"Corcoran, CA 93212",93212,,,https://www.prisonpro.com/content/california-substance-abuse-treatment-facility
Facility F & G,P.O. Box 5244,,"Corcoran, CA 93212",93212,,,https://www.prisonpro.com/content/california-substance-abuse-treatment-facility
Facility A,PO Box 5004,,"Calipatria, CA 92233-5004",92233,,,https://www.prisonpro.com/content/calipatria-state-prison
Facility B,PO Box 5005,,"Calipatria, CA 92233-5005",92233,,,https://www.prisonpro.com/content/calipatria-state-prison
Facility C,PO Box 5006,,"Calipatria, CA 92233-5006",92233,,,https://www.prisonpro.com/content/calipatria-state-prison
Facility D,PO Box 5007,,"Calipatria, CA 92233-5007",92233,,,https://www.prisonpro.com/content/calipatria-state-prison
MSF/FH/ASU,PO Box 5008,,"Calipatria, CA 92233-5008",92233,,,https://www.prisonpro.com/content/calipatria-state-prison
Facility A,P.O. Box 901,,"Imperial, CA 92251-0901",92251,,,https://www.prisonpro.com/content/centinela-state-prison
Facility B,P.O. Box 911,,"Imperial, CA 92251-0911",92251,,,https://www.prisonpro.com/content/centinela-state-prison
Facility C,P.O. Box 921,,"Imperial, CA 92251-921",92251,,,https://www.prisonpro.com/content/centinela-state-prison
Facility D,P.O. Box 931,,"Imperial, CA 92251-0931",92251,,,https://www.prisonpro.com/content/centinela-state-prison
Central California Womens Facility,P. O. Box 1508,,"Chowchilla, CA 93610",93610,,,https://www.prisonpro.com/content/central-california-womens-facility
Chuckawalla Valley State Prison,P.O. Box 2349,,"Blythe, CA 92226",92226,,,https://www.prisonpro.com/content/chuckawalla-valley-state-prison
Correctional Training Facility - South (Facility D),PO Box 690,,"Soledad, CA 93960-0690",93960,,,https://www.prisonpro.com/content/correctional-training-facility
Correctional Training Facility - Central (Facility C),PO Box 689,,"Soledad, CA 93960-0689",93960,,,https://www.prisonpro.com/content/correctional-training-facility
Correctional Training Facility - North (Facility A & B),PO Box 705,,"Soledad, CA 93960-0705",93960,,,https://www.prisonpro.com/content/correctional-training-facility
Deuel Vocational Institution,P.O. Box 600,,"Tracy, CA 95378-0600",95378,,,https://www.prisonpro.com/content/deuel-vocational-institution
Folsom State Prison,P.O. Box 715071,,"Represa, CA 95671",95671,,,https://www.prisonpro.com/content/folsom-state-prison
"High Desert State Prison, California",P.O. Box 3030,,"Susanville, CA 96127-3030",96127,,,https://www.prisonpro.com/content/high-desert-state-prison-california
"Inmate Name, ID Number",P.O. Box 270-249,,"Susanville, CA 96127",96127,,,https://www.prisonpro.com/content/high-desert-state-prison-california
Ironwood State Prison,P.O. Box 2199,,"Blythe, CA 92226",92226,,,https://www.prisonpro.com/content/ironwood-state-prison
Facility A,P.O. Box 5101,,"Delano, CA 93216",93216,,,https://www.prisonpro.com/content/kern-valley-state-prison
Facility B,P.O. Box 5102,,"Delano, CA 93216",93216,,,https://www.prisonpro.com/content/kern-valley-state-prison
Facility C,P.O. Box 5103,,"Delano, CA 93216",93216,,,https://www.prisonpro.com/content/kern-valley-state-prison
Facility D,P.O. Box 5104,,"Delano, CA 93216",93216,,,https://www.prisonpro.com/content/kern-valley-state-prison
Facility M,P.O. Box 5105,,"Delano, CA 93216",93216,,,https://www.prisonpro.com/content/kern-valley-state-prison
ASU1,P.O. Box 5107,,"Delano, CA 93216",93216,,,https://www.prisonpro.com/content/kern-valley-state-prison
ASU2,P.O. Box 5106,,"Delano, CA 93216",93216,,,https://www.prisonpro.com/content/kern-valley-state-prison
A Yard,PO Box 409020,,"Ione, CA 95640-9020",95640,,,https://www.prisonpro.com/content/mule-creek-state-prison
B Yard,PO Box 409040,,"Ione, CA 95640-9040",95640,,,https://www.prisonpro.com/content/mule-creek-state-prison
C Yard,PO Box 409060,,"Ione, CA 95640-9060",95640,,,https://www.prisonpro.com/content/mule-creek-state-prison
Minimum Support,PO Box 409000,,"Ione, CA 95640-9000",95640,,,https://www.prisonpro.com/content/mule-creek-state-prison
A Yard,PO Box 5000,,"Delano, CA 93215-5000",93215,,,https://www.prisonpro.com/content/north-kern-state-prison
B Yard,PO Box 4999,,"Delano, CA 93216-4999",93216,,,https://www.prisonpro.com/content/north-kern-state-prison
C Yard,PO Box 5004,,"Delano, CA 93216-5004",93216,,,https://www.prisonpro.com/content/north-kern-state-prison
D Yard,PO Box 5005,,"Delano, CA 93215-5005",93215,,,https://www.prisonpro.com/content/north-kern-state-prison
E Yard,PO Box 5000,,"Delano, CA 93215-5000",93215,,,https://www.prisonpro.com/content/north-kern-state-prison
Pelican Bay State Prison,P.O. Box 7500,,"Crescent City, CA 95532",95532,,,https://www.prisonpro.com/content/pelican-bay-state-prison
Pleasant Valley State Prison,P.O. Box 8500,,"Coalinga, CA 93210",93210,,,https://www.prisonpro.com/content/pleasant-valley-state-prison
Facility A,P.O. Box 799001,,"San Diego, CA 92179-9001",92179,,,https://www.prisonpro.com/content/richard-j-donovan-correctional-facility-rock-mountain
Facility B,P.O. Box 799002,,"San Diego, CA 92179-9002",92179,,,https://www.prisonpro.com/content/richard-j-donovan-correctional-facility-rock-mountain
Facility C,P.O. Box 799003,,"San Diego, CA 92179-9003",92179,,,https://www.prisonpro.com/content/richard-j-donovan-correctional-facility-rock-mountain
Facility D,P.O. Box 799004,,"San Diego, CA 92179-9004",92179,,,https://www.prisonpro.com/content/richard-j-donovan-correctional-facility-rock-mountain
Facility M,P.O. Box 799005,,"San Diego, CA 92179-9005",92179,,,https://www.prisonpro.com/content/richard-j-donovan-correctional-facility-rock-mountain
Richard J. Donovan Correctional Facility,PO Box 799006,,"San Diego, CA 92179-9006",92179,,,https://www.prisonpro.com/content/richard-j-donovan-correctional-facility-rock-mountain
Salinas Valley State Prison,PO Box 1050,,"Soledad, CA 93960-1050",93960,,,https://www.prisonpro.com/content/salinas-valley-state-prison
Inmate Mailing Address:,San Quentin State Prison,,"San Quentin, CA 94974",94974,,,https://www.prisonpro.com/content/san-quentin-state-prison
Sierra Conservation Center,5100 O'Byrnes Ferry Road,,"Jamestown, CA 95327",95327,,,https://www.prisonpro.com/content/sierra-conservation-center
Valley State Prison,PO Box 92,,"Chowchilla, CA 93610-0092",93610,,,https://www.prisonpro.com/content/valley-state-prison
A Facility,PO Box 4400,,"Wasco, CA 93280-4400",93280,,,https://www.prisonpro.com/content/wasco-state-prison
B Facility,PO Box 5500,,"Wasco, CA 93280-5500",93280,,,https://www.prisonpro.com/content/wasco-state-prison
C Facility,PO Box 6600,,"Wasco, CA 93280-6600",93280,,,https://www.prisonpro.com/content/wasco-state-prison
D Facility,PO Box 7700,,"Wasco, CA 93280-7700",93280,,,https://www.prisonpro.com/content/wasco-state-prison
E Facility,PO Box 3300,,"Wasco, CA 93280-4015",93280,,,https://www.prisonpro.com/content/wasco-state-prison
H Facility,PO Box 9900,,"Wasco, CA 93280-9900",93280,,,https://www.prisonpro.com/content/wasco-state-prison
Arrowhead Correctional Center,PO Box 300,,"Caon City, CO 81215",81215,,,https://www.prisonpro.com/content/arrowhead-correctional-center
